lat,lon,id1,main,description,icon,temp,pressure,humidity,temp_min,temp_max,visibility,speed,deg,clouds,dt,typ,id2,message,country,sunrise,sunset,idn,name
28.472                                            ,77.015                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.67                                            ,1016                                              ,36                                                ,298.15                                            ,299.15                                            ,4000                                              ,3.1                                               ,280                                               ,0                                                 ,1552893308                                        ,1                                                 ,9165                                              ,0.0055                                            ,IN                                                ,1552870733                                        ,1552914088                                        ,1270642                                           ,Gurgaon                                           
28.463                                            ,77.013                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.99                                            ,1016                                              ,34                                                ,298.71                                            ,299.15                                            ,4000                                              ,3.1                                               ,280                                               ,0                                                 ,1552893308                                        ,1                                                 ,9165                                              ,0.0133                                            ,IN                                                ,1552870736                                        ,1552914091                                        ,1270642                                           ,Gurgaon                                           
28.449                                            ,77.009                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.99                                            ,1016                                              ,34                                                ,298.71                                            ,299.15                                            ,4000                                              ,3.1                                               ,280                                               ,0                                                 ,1552893308                                        ,1                                                 ,9165                                              ,0.0053                                            ,IN                                                ,1552870736                                        ,1552914091                                        ,1270642                                           ,Gurgaon                                           
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,294.21                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0066                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,294.21                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0066                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,294.13                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0078                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,293.95                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0565                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,293.95                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0565                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,294.21                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0066                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,294.13                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0078                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,294.13                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0078                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,293.95                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0565                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,293.75                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0042                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
28.441                                            ,77.007                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.99                                            ,1016                                              ,34                                                ,298.71                                            ,299.15                                            ,4000                                              ,3.1                                               ,280                                               ,0                                                 ,1552893308                                        ,1                                                 ,9165                                              ,0.0182                                            ,IN                                                ,1552870736                                        ,1552914091                                        ,1267034                                           ,Khāndsa                                           
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,293.75                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0042                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,293.75                                            ,1016                                              ,41                                                ,291.15                                            ,299.15                                            ,5000                                              ,2.6                                               ,230                                               ,20                                                ,1552890600                                        ,1                                                 ,9159                                              ,0.0042                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
